idx,filename,temperature [C],flecha [mm],global time
0,0_mm_30.60_grados_1_0,30.6,0,"2022,03,03,13:41:27"
0,0_mm_30.60_grados_2_0,30.6,0,"2022,03,03,13:41:40"
0,0_mm_149.90_grados_1_0,149.9,0,"2022,03,03,14:20:32"
0,0_mm_150.10_grados_2_0,150.1,0,"2022,03,03,14:20:45"
0,0_mm_30.40_grados_1_0,30.4,0,"2022,03,03,18:46:08"
0,0_mm_30.40_grados_2_0,30.4,0,"2022,03,03,18:46:20"
0,0_mm_180.10_grados_1_0,180.1,0,"2022,03,03,19:34:28"
0,0_mm_180.10_grados_2_0,180.1,0,"2022,03,03,19:34:41"
0,0_mm_30.50_grados_1_0,30.5,0,"2022,03,04,00:17:29"
0,0_mm_30.50_grados_2_0,30.5,0,"2022,03,04,00:17:42"
0,0_mm_200.40_grados_1_0,200.4,0,"2022,03,04,01:15:39"
0,0_mm_200.40_grados_2_0,200.4,0,"2022,03,04,01:15:52"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,10:30:47"
0,0_mm_30.00_grados_2_0,30.0,0,"2022,03,04,10:31:01"
1,0_mm_0.00_grados_1_1,0.0,0,"2022,03,04,10:37:12"
1,0_mm_35.10_grados_2_1,35.1,0,"2022,03,04,10:37:26"
2,0_mm_39.80_grados_1_2,39.8,0,"2022,03,04,10:43:52"
2,0_mm_39.90_grados_2_2,39.9,0,"2022,03,04,10:44:06"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,10:51:07"
3,0_mm_45.10_grados_2_3,45.1,0,"2022,03,04,10:51:21"
4,0_mm_50.00_grados_1_4,50.0,0,"2022,03,04,10:58:17"
4,0_mm_50.10_grados_2_4,50.1,0,"2022,03,04,10:58:31"
5,0_mm_55.20_grados_1_5,55.2,0,"2022,03,04,11:05:42"
5,0_mm_55.20_grados_2_5,55.2,0,"2022,03,04,11:05:56"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,11:18:12"
0,0_mm_60.00_grados_2_0,60.0,0,"2022,03,04,11:18:26"
1,0_mm_0.00_grados_2_1,0.0,0,"2022,03,04,11:26:42"
1,0_mm_65.40_grados_1_1,65.4,0,"2022,03,04,11:26:56"
5,0_mm_85.10_grados_2_5,85.1,0,"2022,03,04,11:59:27"
5,0_mm_85.10_grados_1_5,85.1,0,"2022,03,04,11:59:41"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,12:32:27"
0,0_mm_59.90_grados_2_0,59.9,0,"2022,03,04,12:32:41"
1,0_mm_65.20_grados_1_1,65.2,0,"2022,03,04,12:40:27"
1,0_mm_65.20_grados_2_1,65.2,0,"2022,03,04,12:40:41"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,12:47:37"
2,0_mm_70.10_grados_2_2,70.1,0,"2022,03,04,12:47:51"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,12:54:47"
3,0_mm_74.90_grados_2_3,74.9,0,"2022,03,04,12:55:01"
4,0_mm_0.00_grados_1_4,0.0,0,"2022,03,04,13:02:27"
4,0_mm_80.00_grados_2_4,80.0,0,"2022,03,04,13:02:41"
5,0_mm_0.00_grados_1_5,0.0,0,"2022,03,04,13:10:22"
5,0_mm_85.10_grados_2_5,85.1,0,"2022,03,04,13:10:36"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,13:19:27"
0,0_mm_90.20_grados_2_0,90.2,0,"2022,03,04,13:19:41"
1,0_mm_95.10_grados_1_1,95.1,0,"2022,03,04,13:27:27"
1,0_mm_95.20_grados_2_1,95.2,0,"2022,03,04,13:27:41"
2,0_mm_100.10_grados_1_2,100.1,0,"2022,03,04,13:36:07"
2,0_mm_100.10_grados_2_2,100.1,0,"2022,03,04,13:36:21"
3,0_mm_105.00_grados_1_3,105.0,0,"2022,03,04,13:44:32"
3,0_mm_105.00_grados_2_3,105.0,0,"2022,03,04,13:44:46"
4,0_mm_0.00_grados_1_4,0.0,0,"2022,03,04,13:53:12"
4,0_mm_110.00_grados_2_4,110.0,0,"2022,03,04,13:53:26"
5,0_mm_114.90_grados_1_5,114.9,0,"2022,03,04,14:02:42"
5,0_mm_114.80_grados_2_5,114.8,0,"2022,03,04,14:02:56"
0,0_mm_119.80_grados_1_0,119.8,0,"2022,03,04,14:15:32"
0,0_mm_119.80_grados_2_0,119.8,0,"2022,03,04,14:15:46"
1,0_mm_124.50_grados_1_1,124.5,0,"2022,03,04,14:25:32"
1,0_mm_124.40_grados_2_1,124.4,0,"2022,03,04,14:25:46"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,14:35:37"
2,0_mm_129.80_grados_2_2,129.8,0,"2022,03,04,14:35:51"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,14:46:17"
3,0_mm_135.10_grados_2_3,135.1,0,"2022,03,04,14:46:31"
4,0_mm_139.90_grados_1_4,139.9,0,"2022,03,04,14:56:52"
4,0_mm_139.90_grados_2_4,139.9,0,"2022,03,04,14:57:06"
5,0_mm_144.50_grados_1_5,144.5,0,"2022,03,04,15:07:53"
5,0_mm_144.50_grados_2_5,144.5,0,"2022,03,04,15:08:07"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,15:21:43"
0,0_mm_150.00_grados_2_0,150.0,0,"2022,03,04,15:21:57"
1,0_mm_0.00_grados_1_1,0.0,0,"2022,03,04,15:33:23"
1,0_mm_154.40_grados_2_1,154.4,0,"2022,03,04,15:33:37"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,15:46:33"
2,0_mm_159.60_grados_2_2,159.6,0,"2022,03,04,15:46:47"
3,0_mm_164.50_grados_1_3,164.5,0,"2022,03,04,15:59:08"
3,0_mm_164.60_grados_2_3,164.6,0,"2022,03,04,15:59:22"
4,0_mm_0.00_grados_1_4,0.0,0,"2022,03,04,16:13:43"
4,0_mm_169.50_grados_2_4,169.5,0,"2022,03,04,16:13:57"
5,0_mm_0.00_grados_1_5,0.0,0,"2022,03,04,16:32:08"
5,0_mm_175.10_grados_2_5,175.1,0,"2022,03,04,16:32:22"
0,3.11172462406015_mm_0.00_grados_1_0,0.0,3.11172462406015,"2022,03,07,09:20:32"
0,3.11172462406015_mm_29.70_grados_2_0,29.7,3.11172462406015,"2022,03,07,09:20:46"
1,3.11172462406015_mm_35.00_grados_1_1,35.0,3.11172462406015,"2022,03,07,09:27:52"
1,3.11172462406015_mm_35.00_grados_2_1,35.0,3.11172462406015,"2022,03,07,09:28:06"
2,3.11172462406015_mm_0.00_grados_1_2,0.0,3.11172462406015,"2022,03,07,09:34:42"
2,3.11172462406015_mm_40.20_grados_2_2,40.2,3.11172462406015,"2022,03,07,09:34:56"
3,3.11172462406015_mm_0.00_grados_1_3,0.0,3.11172462406015,"2022,03,07,09:42:02"
3,3.11172462406015_mm_45.20_grados_2_3,45.2,3.11172462406015,"2022,03,07,09:42:16"
4,3.11172462406015_mm_50.20_grados_1_4,50.2,3.11172462406015,"2022,03,07,09:49:47"
4,3.11172462406015_mm_50.20_grados_2_4,50.2,3.11172462406015,"2022,03,07,09:50:01"
5,3.11172462406015_mm_0.00_grados_1_5,0.0,3.11172462406015,"2022,03,07,09:57:27"
5,3.11172462406015_mm_55.10_grados_2_5,55.1,3.11172462406015,"2022,03,07,09:57:41"
0,3.11172462406015_mm_60.00_grados_1_0,60.0,3.11172462406015,"2022,03,07,10:08:12"
0,3.11172462406015_mm_60.00_grados_2_0,60.0,3.11172462406015,"2022,03,07,10:08:26"
1,3.11172462406015_mm_0.00_grados_1_1,0.0,3.11172462406015,"2022,03,07,10:16:22"
1,3.11172462406015_mm_65.10_grados_2_1,65.1,3.11172462406015,"2022,03,07,10:16:36"
2,3.11172462406015_mm_0.00_grados_1_2,0.0,3.11172462406015,"2022,03,07,10:24:32"
2,3.11172462406015_mm_70.10_grados_2_2,70.1,3.11172462406015,"2022,03,07,10:24:46"
3,3.11172462406015_mm_0.00_grados_1_3,0.0,3.11172462406015,"2022,03,07,10:33:07"
3,3.11172462406015_mm_75.30_grados_2_3,75.3,3.11172462406015,"2022,03,07,10:33:21"
4,3.11172462406015_mm_0.00_grados_1_4,0.0,3.11172462406015,"2022,03,07,10:41:27"
4,3.11172462406015_mm_80.00_grados_2_4,80.0,3.11172462406015,"2022,03,07,10:41:41"
5,3.11172462406015_mm_0.00_grados_1_5,0.0,3.11172462406015,"2022,03,07,10:50:07"
5,3.11172462406015_mm_85.00_grados_2_5,85.0,3.11172462406015,"2022,03,07,10:50:21"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:18:07"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:18:21"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:18:35"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:18:49"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:19:03"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:19:17"
0,3.11172462406015_mm_89.50_grados_1_0,89.5,3.11172462406015,"2022,03,07,11:19:31"
0,3.11172462406015_mm_89.50_grados_1_0,89.5,3.11172462406015,"2022,03,07,11:19:45"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:19:59"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:20:13"
0,3.11172462406015_mm_89.50_grados_2_0,89.5,3.11172462406015,"2022,03,07,11:20:27"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:20:41"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:20:55"
0,3.11172462406015_mm_89.60_grados_1_0,89.6,3.11172462406015,"2022,03,07,11:21:09"
0,3.11172462406015_mm_89.60_grados_2_0,89.6,3.11172462406015,"2022,03,07,11:21:23"
0,3.11172462406015_mm_89.60_grados_2_0,89.6,3.11172462406015,"2022,03,07,11:21:38"
0,3.11172462406015_mm_89.60_grados_2_0,89.6,3.11172462406015,"2022,03,07,11:21:52"
0,3.11172462406015_mm_89.70_grados_1_0,89.7,3.11172462406015,"2022,03,07,11:22:06"
0,3.11172462406015_mm_89.70_grados_1_0,89.7,3.11172462406015,"2022,03,07,11:22:20"
0,3.11172462406015_mm_89.70_grados_1_0,89.7,3.11172462406015,"2022,03,07,11:22:34"
0,3.11172462406015_mm_89.80_grados_2_0,89.8,3.11172462406015,"2022,03,07,11:22:48"
0,3.11172462406015_mm_89.90_grados_2_0,89.9,3.11172462406015,"2022,03,07,11:23:02"
0,3.11172462406015_mm_89.90_grados_2_0,89.9,3.11172462406015,"2022,03,07,11:23:16"
0,3.11172462406015_mm_90.10_grados_1_0,90.1,3.11172462406015,"2022,03,07,11:23:30"
0,3.11172462406015_mm_90.10_grados_1_0,90.1,3.11172462406015,"2022,03,07,11:23:44"
0,3.11172462406015_mm_90.00_grados_1_0,90.0,3.11172462406015,"2022,03,07,11:23:58"
0,3.11172462406015_mm_90.10_grados_2_0,90.1,3.11172462406015,"2022,03,07,11:24:12"
0,3.11172462406015_mm_90.10_grados_2_0,90.1,3.11172462406015,"2022,03,07,11:24:26"
0,3.11172462406015_mm_90.20_grados_2_0,90.2,3.11172462406015,"2022,03,07,11:24:40"
0,3.11172462406015_mm_90.30_grados_1_0,90.3,3.11172462406015,"2022,03,07,11:24:54"
0,3.11172462406015_mm_90.30_grados_1_0,90.3,3.11172462406015,"2022,03,07,11:25:08"
0,3.11172462406015_mm_90.40_grados_1_0,90.4,3.11172462406015,"2022,03,07,11:25:22"
0,3.11172462406015_mm_90.40_grados_2_0,90.4,3.11172462406015,"2022,03,07,11:25:36"
0,3.11172462406015_mm_90.50_grados_2_0,90.5,3.11172462406015,"2022,03,07,11:25:50"
0,3.11172462406015_mm_90.50_grados_2_0,90.5,3.11172462406015,"2022,03,07,11:26:04"
0,3.11172462406015_mm_90.60_grados_1_0,90.6,3.11172462406015,"2022,03,07,11:26:18"
0,3.11172462406015_mm_90.60_grados_1_0,90.6,3.11172462406015,"2022,03,07,11:26:32"
0,3.11172462406015_mm_90.70_grados_1_0,90.7,3.11172462406015,"2022,03,07,11:26:46"
0,3.11172462406015_mm_90.90_grados_2_0,90.9,3.11172462406015,"2022,03,07,11:27:00"
0,3.11172462406015_mm_91.00_grados_2_0,91.0,3.11172462406015,"2022,03,07,11:27:14"
0,3.11172462406015_mm_91.10_grados_2_0,91.1,3.11172462406015,"2022,03,07,11:27:28"
0,3.11172462406015_mm_91.10_grados_1_0,91.1,3.11172462406015,"2022,03,07,11:27:42"
0,3.11172462406015_mm_91.10_grados_1_0,91.1,3.11172462406015,"2022,03,07,11:27:56"
0,3.11172462406015_mm_91.20_grados_1_0,91.2,3.11172462406015,"2022,03,07,11:28:10"
0,3.11172462406015_mm_91.20_grados_2_0,91.2,3.11172462406015,"2022,03,07,11:28:24"
0,3.11172462406015_mm_91.30_grados_2_0,91.3,3.11172462406015,"2022,03,07,11:28:38"
0,3.11172462406015_mm_91.40_grados_2_0,91.4,3.11172462406015,"2022,03,07,11:28:52"
0,3.11172462406015_mm_91.40_grados_no_measure_0,91.4,3.11172462406015,"2022,03,07,11:29:06"
0,3.11172462406015_mm_91.50_grados_no_measure_0,91.5,3.11172462406015,"2022,03,07,11:29:20"
0,3.11172462406015_mm_91.70_grados_no_measure_0,91.7,3.11172462406015,"2022,03,07,11:29:34"
1,3.11172462406015_mm_96.60_grados_1_1,96.6,3.11172462406015,"2022,03,07,11:31:02"
1,3.11172462406015_mm_96.70_grados_1_1,96.7,3.11172462406015,"2022,03,07,11:31:16"
1,3.11172462406015_mm_96.70_grados_2_1,96.7,3.11172462406015,"2022,03,07,11:31:30"
1,3.11172462406015_mm_96.80_grados_2_1,96.8,3.11172462406015,"2022,03,07,11:31:44"
1,3.11172462406015_mm_96.80_grados_2_1,96.8,3.11172462406015,"2022,03,07,11:31:58"
1,3.11172462406015_mm_96.90_grados_no_measure_1,96.9,3.11172462406015,"2022,03,07,11:32:12"
1,3.11172462406015_mm_97.00_grados_no_measure_1,97.0,3.11172462406015,"2022,03,07,11:32:26"
1,3.11172462406015_mm_97.10_grados_no_measure_1,97.1,3.11172462406015,"2022,03,07,11:32:40"
2,3.11172462406015_mm_99.90_grados_1_2,99.9,3.11172462406015,"2022,03,07,11:36:27"
2,3.11172462406015_mm_99.90_grados_1_2,99.9,3.11172462406015,"2022,03,07,11:36:41"
2,3.11172462406015_mm_99.90_grados_2_2,99.9,3.11172462406015,"2022,03,07,11:36:55"
2,3.11172462406015_mm_99.90_grados_2_2,99.9,3.11172462406015,"2022,03,07,11:37:09"
2,3.11172462406015_mm_99.90_grados_2_2,99.9,3.11172462406015,"2022,03,07,11:37:23"
2,3.11172462406015_mm_100.00_grados_1_2,100.0,3.11172462406015,"2022,03,07,11:37:37"
2,3.11172462406015_mm_100.00_grados_1_2,100.0,3.11172462406015,"2022,03,07,11:37:51"
2,3.11172462406015_mm_100.10_grados_1_2,100.1,3.11172462406015,"2022,03,07,11:38:05"
2,3.11172462406015_mm_100.10_grados_2_2,100.1,3.11172462406015,"2022,03,07,11:38:19"
2,3.11172462406015_mm_100.10_grados_2_2,100.1,3.11172462406015,"2022,03,07,11:38:33"
2,3.11172462406015_mm_100.10_grados_2_2,100.1,3.11172462406015,"2022,03,07,11:38:47"
2,3.11172462406015_mm_100.10_grados_1_2,100.1,3.11172462406015,"2022,03,07,11:39:01"
2,3.11172462406015_mm_100.10_grados_1_2,100.1,3.11172462406015,"2022,03,07,11:39:16"
2,3.11172462406015_mm_100.20_grados_1_2,100.2,3.11172462406015,"2022,03,07,11:39:30"
2,3.11172462406015_mm_100.20_grados_2_2,100.2,3.11172462406015,"2022,03,07,11:39:44"
2,3.11172462406015_mm_100.30_grados_2_2,100.3,3.11172462406015,"2022,03,07,11:39:58"
2,3.11172462406015_mm_100.30_grados_2_2,100.3,3.11172462406015,"2022,03,07,11:40:12"
2,3.11172462406015_mm_100.40_grados_1_2,100.4,3.11172462406015,"2022,03,07,11:40:26"
2,3.11172462406015_mm_100.50_grados_1_2,100.5,3.11172462406015,"2022,03,07,11:40:40"
2,3.11172462406015_mm_100.50_grados_1_2,100.5,3.11172462406015,"2022,03,07,11:40:54"
2,3.11172462406015_mm_100.60_grados_2_2,100.6,3.11172462406015,"2022,03,07,11:41:08"
2,3.11172462406015_mm_100.60_grados_2_2,100.6,3.11172462406015,"2022,03,07,11:41:22"
2,3.11172462406015_mm_100.70_grados_2_2,100.7,3.11172462406015,"2022,03,07,11:41:36"
2,3.11172462406015_mm_100.70_grados_1_2,100.7,3.11172462406015,"2022,03,07,11:41:50"
2,3.11172462406015_mm_100.70_grados_1_2,100.7,3.11172462406015,"2022,03,07,11:42:04"
2,3.11172462406015_mm_100.80_grados_1_2,100.8,3.11172462406015,"2022,03,07,11:42:18"
2,3.11172462406015_mm_100.80_grados_2_2,100.8,3.11172462406015,"2022,03,07,11:42:32"
2,3.11172462406015_mm_100.80_grados_2_2,100.8,3.11172462406015,"2022,03,07,11:42:46"
2,3.11172462406015_mm_100.80_grados_2_2,100.8,3.11172462406015,"2022,03,07,11:43:00"
2,3.11172462406015_mm_100.90_grados_no_measure_2,100.9,3.11172462406015,"2022,03,07,11:43:14"
2,3.11172462406015_mm_100.90_grados_no_measure_2,100.9,3.11172462406015,"2022,03,07,11:43:28"
2,3.11172462406015_mm_101.00_grados_no_measure_2,101.0,3.11172462406015,"2022,03,07,11:43:42"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:45:07"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:45:21"
3,3.11172462406015_mm_104.90_grados_2_3,104.9,3.11172462406015,"2022,03,07,11:45:35"
3,3.11172462406015_mm_104.90_grados_2_3,104.9,3.11172462406015,"2022,03,07,11:45:49"
3,3.11172462406015_mm_105.00_grados_2_3,105.0,3.11172462406015,"2022,03,07,11:46:03"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:17"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:31"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:45"
3,3.11172462406015_mm_105.00_grados_2_3,105.0,3.11172462406015,"2022,03,07,11:46:59"
3,3.11172462406015_mm_105.10_grados_2_3,105.1,3.11172462406015,"2022,03,07,11:47:13"
3,3.11172462406015_mm_105.10_grados_2_3,105.1,3.11172462406015,"2022,03,07,11:47:27"
3,3.11172462406015_mm_105.20_grados_1_3,105.2,3.11172462406015,"2022,03,07,11:47:41"
3,3.11172462406015_mm_105.30_grados_1_3,105.3,3.11172462406015,"2022,03,07,11:47:55"
3,3.11172462406015_mm_105.30_grados_1_3,105.3,3.11172462406015,"2022,03,07,11:48:09"
3,3.11172462406015_mm_105.30_grados_2_3,105.3,3.11172462406015,"2022,03,07,11:48:23"
3,3.11172462406015_mm_105.40_grados_2_3,105.4,3.11172462406015,"2022,03,07,11:48:37"
